epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8569,2.7342,4.26754,2.29605,0.00157,0.06404,0.00113,0.00029,2.77674,4.45893,2.46783,4e-05,4e-05,4e-05
2,44.4844,2.58717,4.25046,2.17053,0.00234,0.12831,0.00307,0.00052,2.67153,4.43453,2.34657,8.8218e-05,8.8218e-05,8.8218e-05
3,67.4077,2.50389,4.22305,2.08854,0.00237,0.11006,0.00289,0.00066,2.62376,4.42377,2.35497,0.000134456,0.000134456,0.000134456
4,90.798,2.5376,4.11177,2.06695,0.0019,0.10366,0.00229,0.00065,2.61302,4.41256,2.32239,0.000178714,0.000178714,0.000178714
5,114.526,2.36789,4.0114,1.90751,0.00208,0.11156,0.00274,0.00079,2.66266,4.38326,2.269,0.000220992,0.000220992,0.000220992
6,139.508,2.3762,3.84592,1.86633,0.00394,0.15488,0.00464,0.00187,2.60906,4.28983,2.12932,0.00026129,0.00026129,0.00026129
7,167.101,2.37775,3.66834,1.89495,0.0051,0.20542,0.01345,0.00472,2.56054,4.15889,2.01151,0.000299608,0.000299608,0.000299608
8,197.893,2.35054,3.49562,1.82882,0.00647,0.28753,0.01214,0.00439,2.67333,4.03427,2.03965,0.000335946,0.000335946,0.000335946
9,230.224,2.46902,3.47034,1.86298,0.00916,0.43907,0.01816,0.00687,2.60503,3.74921,1.96644,0.000370304,0.000370304,0.000370304
10,261.972,2.32694,3.26782,1.84558,0.00964,0.4537,0.02596,0.0105,2.64796,3.62005,1.9551,0.000402682,0.000402682,0.000402682
11,293.005,2.30665,3.17577,1.78764,0.00912,0.42182,0.04289,0.0177,2.72037,3.55919,1.93731,0.00043308,0.00043308,0.00043308
12,323.763,2.30963,3.07271,1.72166,0.00865,0.4002,0.04193,0.01759,2.70478,3.62713,1.88833,0.000461498,0.000461498,0.000461498
13,353.858,2.26375,3.13525,1.78834,0.0084,0.39399,0.03457,0.01535,2.70493,3.62985,1.88483,0.000487936,0.000487936,0.000487936
14,383.914,2.33812,3.09534,1.82014,0.00923,0.44023,0.03904,0.01265,2.71438,3.55251,1.93328,0.000512394,0.000512394,0.000512394
15,413.586,2.27871,3.02178,1.76051,0.19714,0.05339,0.02287,0.00707,2.62297,3.57055,1.99811,0.000534872,0.000534872,0.000534872
16,443.168,2.25062,3.03727,1.7549,0.20138,0.03032,0.02026,0.00577,2.61624,3.55701,1.98655,0.00055537,0.00055537,0.00055537
